time_seconds,note,freq_hz,intensity
1.138,	f#(5),	376.83,	32.29291534423828
2.252,	f#(5),	376.83,	30.813461303710938
3.971,	g#(5),	419.90,	34.813899993896484
4.087,	a(5),	430.66,	47.01948165893555
4.528,	g#(5),	419.90,	79.0568618774414
5.805,	b♭(5),	473.73,	32.98109436035156
6.223,	b(5),	484.50,	156.86993408203125
6.362,	b♭(5),	473.73,	165.80435180664062
7.616,	g(6),	764.43,	30.99559211730957
7.802,	f#(6),	753.66,	36.942264556884766
7.872,	b(6),	1012.06,	63.46677017211914
7.988,	b(5),	506.03,	81.03937530517578
8.522,	b(4),	247.63,	106.49565124511719
9.706,	c#(5),	279.93,	31.453353881835938
9.799,	d(5),	290.70,	56.25198745727539
9.845,	c#(5),	279.93,	74.13367462158203
9.892,	d(5),	290.70,	92.34225463867188
11.517,	b♭(6),	958.23,	37.66682815551758
12.051,	e(6),	646.00,	38.81504821777344
12.074,	e(5),	323.00,	30.91114616394043
13.189,	f(5),	355.30,	42.08700942993164
13.584,	f#(5),	366.06,	126.6365966796875
13.677,	f(5),	355.30,	147.97006225585938
13.700,	f#(5),	366.06,	151.93002319335938
13.723,	f(5),	355.30,	143.80555725097656
14.791,	d(7),	1141.26,	36.680381774902344
14.814,	f#(5),	376.83,	53.419334411621094
14.861,	d(7),	1141.26,	50.21183395385742
15.000,	c#(7),	1130.49,	69.9823989868164
15.348,	d(7),	1141.26,	105.64469146728516
15.418,	c#(7),	1130.49,	114.1308364868164
15.581,	f#(5),	376.83,	49.31932067871094
16.417,	a(5),	430.66,	30.44699478149414
16.579,	g#(5),	419.90,	56.102176666259766
16.602,	a(5),	430.66,	64.0733871459961
16.904,	g#(5),	419.90,	78.68326568603516
16.951,	a(5),	430.66,	79.31778717041016
17.090,	g#(5),	419.90,	68.36056518554688
17.136,	a(5),	430.66,	73.57674407958984
17.926,	b♭(5),	473.73,	32.02268600463867
17.995,	b(5),	484.50,	64.7526626586914
18.251,	b♭(5),	473.73,	169.1337127685547
18.506,	b(5),	484.50,	171.24951171875
18.530,	b♭(5),	473.73,	178.06858825683594
18.646,	b(5),	484.50,	223.525146484375
18.669,	b♭(5),	473.73,	201.1681365966797
19.458,	b(5),	506.03,	50.85207748413086
20.921,	c#(7),	1130.49,	33.000709533691406
20.944,	d(7),	1141.26,	30.91049575805664
21.060,	f(8),	2842.38,	56.45539474487305
21.246,	c#(7),	1130.49,	131.18394470214844
21.293,	f(8),	2842.38,	156.22134399414062
21.386,	c#(7),	1130.49,	163.38954162597656
21.455,	f(8),	2842.38,	155.6370086669922
21.478,	d(7),	1141.26,	113.11640930175781
21.502,	f(8),	2853.15,	84.35348510742188
21.548,	c#(7),	1130.49,	67.0455093383789
21.641,	d(7),	1141.26,	31.875097274780273
22.430,	b♭(7),	1905.69,	38.68616485595703
22.686,	e♭(6),	635.23,	48.075584411621094
22.779,	b♭(7),	1916.46,	74.53760528564453
22.872,	e(6),	646.00,	56.448097229003906
22.918,	e♭(6),	635.23,	71.4405517578125
22.941,	b♭(7),	1905.69,	90.90445709228516
22.988,	e♭(6),	635.23,	64.01225280761719
23.731,	f(8),	2863.92,	36.71440505981445
24.218,	f(6),	710.60,	67.38394927978516
24.242,	f(8),	2874.68,	91.3637466430664
24.381,	f#(8),	2885.45,	84.69596862792969
25.287,	g(8),	3057.71,	30.194353103637695
25.449,	g(6),	764.43,	34.3689079284668
25.496,	f#(6),	753.66,	42.04747772216797
25.519,	f#(8),	3025.42,	54.267173767089844
25.704,	f#(7),	1518.09,	37.18988037109375
25.728,	f#(8),	3036.18,	34.89254379272461
25.751,	f#(6),	753.66,	45.538421630859375
25.774,	c#(8),	2260.99,	66.33133697509766
25.821,	f#(7),	1507.32,	38.40787124633789
26.726,	a(8),	3456.08,	33.36325454711914
26.842,	a(7),	1722.66,	38.74355697631836
26.865,	c(9),	4295.87,	46.75856399536133
26.889,	a(8),	3434.55,	45.80244827270508
26.935,	a(7),	1711.89,	32.95684814453125
26.958,	c(9),	4274.34,	31.207500457763672
27.074,	g#(6),	850.56,	38.2291374206543
27.167,	c(9),	4274.34,	40.1506462097168
27.237,	g#(6),	850.56,	50.816856384277344
28.026,	b♭(7),	1916.46,	32.42105484008789
28.050,	b♭(6),	958.23,	45.83332443237305
28.468,	b♭(7),	1905.69,	162.2474365234375
28.514,	b♭(6),	958.23,	131.08103942871094
28.537,	f#(8),	2896.22,	137.640625
28.607,	b♭(6),	958.23,	151.0211181640625
28.630,	b♭(7),	1905.69,	158.50685119628906
29.280,	b(7),	2024.12,	37.958984375
29.304,	b(6),	1012.06,	54.67183303833008
29.350,	b(7),	2024.12,	70.01753234863281
29.396,	b(6),	1012.06,	74.9628677368164
29.513,	b(7),	2013.35,	119.34520721435547
29.605,	b(6),	1012.06,	132.68336486816406
29.629,	c(6),	1022.83,	129.37936401367188
29.675,	b(6),	1012.06,	153.3053436279297
29.791,	c(6),	1022.83,	113.78572082519531
29.838,	b(6),	1012.06,	120.36946105957031
29.861,	b(7),	1981.05,	111.7800521850586
29.954,	b(6),	1012.06,	109.54988098144531
29.977,	c(6),	1022.83,	74.25457000732422
30.581,	d(7),	1141.26,	42.1412353515625
30.929,	c#(7),	1130.49,	169.5918426513672
30.999,	d(7),	1141.26,	229.2736358642578
31.068,	c#(7),	1130.49,	44.175113677978516
31.092,	c#(8),	2271.75,	41.79176330566406
31.115,	c#(7),	1130.49,	115.60911560058594
31.208,	d(7),	1141.26,	167.09877014160156
31.254,	c#(7),	1130.49,	94.59183502197266
32.113,	e♭(8),	2465.55,	30.25684356689453
32.276,	e(8),	2637.82,	45.199668884277344
32.369,	b(8),	3919.04,	39.47638702392578
32.392,	e(7),	1302.76,	47.44493865966797
32.554,	e(9),	5167.97,	31.90415382385254
32.647,	e(7),	1281.23,	30.478763580322266
32.740,	b(8),	3886.74,	30.912792205810547
32.787,	e(7),	1281.23,	38.78767776489258
