time_seconds,note,freq_hz,intensity
33.715,	f#(8),	2939.28,	34.06264114379883
34.040,	f#(7),	1453.49,	129.64010620117188
34.064,	f#(8),	2896.22,	197.73922729492188
34.249,	f(8),	2874.68,	211.3407440185547
34.296,	f#(8),	2896.22,	130.994140625
34.319,	f#(7),	1453.49,	67.47299194335938
35.132,	g(8),	3068.48,	30.624832153320312
35.643,	f#(8),	3036.18,	45.36631393432617
35.759,	g(8),	3057.71,	31.210819244384766
35.828,	f#(8),	3025.42,	41.58736038208008
35.898,	g(8),	3046.95,	34.77756118774414
36.014,	f#(8),	3025.42,	45.44684600830078
36.107,	g(8),	3090.01,	41.396121978759766
36.177,	f#(8),	3025.42,	37.09353256225586
